,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
332,Del Rio,US,29.3627,-100.8968,94.23,39,0,13.8,clear sky
333,Hobyo,SO,5.3505,48.5268,77.31,77,47,31.56,scattered clouds
334,Lethem,GY,3.3803,-59.7968,88.65,59,51,3.96,broken clouds
335,Pishin,PK,30.5803,66.9961,81.55,43,34,7.14,scattered clouds
336,Tamiahua,MX,21.2667,-97.45,86.25,59,25,6.53,scattered clouds
337,Kailua,US,21.4022,-157.7394,78.78,81,100,8.05,overcast clouds
338,Zorritos,PE,-3.6805,-80.6782,73.69,71,19,11.12,few clouds
339,Upernavik,GL,72.7868,-56.1549,41.14,86,61,14.32,broken clouds
340,Boyolangu,ID,-8.1181,111.8935,72.88,91,87,2.37,overcast clouds
341,Georgiyevka,KZ,43.0369,74.7114,80.64,28,0,13.42,clear sky
342,Mbandaka,CD,0.0487,18.2603,71.28,95,85,2.35,moderate rain
343,Anadyr,RU,64.75,177.4833,45.1,56,0,24.61,clear sky
344,Mana,GF,5.6592,-53.7767,82.87,72,66,7.07,broken clouds
345,Bowen,AU,-20.0167,148.2333,61.32,88,0,8.43,clear sky
